index,x_px,y_px
0,196.539825,125.453659
1,220.516144,126.519302
2,244.492523,127.584854
3,268.468842,128.650497
4,292.445160,129.716095
5,316.421539,130.781708
6,340.397858,131.847321
7,364.374115,132.912933
8,388.350494,133.978516
9,412.326874,135.044174
10,436.303131,136.109756
11,460.279510,137.175369
12,484.255829,138.240982
13,508.232147,139.306595
14,532.208496,140.372223
15,556.184814,141.437790
16,580.161133,142.503448
17,604.137451,143.569061
18,628.113770,144.634644
19,652.090088,145.700226
20,676.066406,146.765884
21,700.042725,147.831451
22,724.019165,148.897110
23,747.995483,149.962677
24,771.971802,151.028275
25,795.948120,152.093887
26,819.924438,153.159500
27,843.600220,156.802460
28,865.940796,165.446320
29,887.257202,176.474152
30,908.573486,187.502121
31,929.889648,198.530029
32,951.206055,209.557861
33,971.168213,222.799133
34,987.819702,240.019455
35,1000.383423,260.414795
36,1008.272339,283.032990
37,1013.681763,306.415405
38,1019.091064,329.797913
39,1024.500488,353.180328
40,1029.909790,376.562866
41,1035.319092,399.945251
42,1040.728516,423.327637
43,1046.137817,446.710175
