index,x_cm,y_cm,yaw_rad,yaw_deg,direction
0,45.0,44.0,0.0,0.0,1
1,46.0,44.0,0.0,0.0,1
2,47.0,44.0,0.0,0.0,1
3,48.0,44.0,-0.7853981633974483,-45.0,1
4,49.0,43.0,-0.7853981633974483,-45.0,1
5,50.0,42.0,-0.7853981633974483,-45.0,1
6,51.0,41.0,0.0,0.0,1
7,52.0,41.0,0.0,0.0,1
8,53.0,41.0,0.0,0.0,1
9,54.0,41.0,0.0,0.0,1
10,55.0,41.0,-0.7853981633974483,-45.0,1
11,56.0,40.0,-0.7853981633974483,-45.0,1
12,57.0,39.0,-0.7853981633974483,-45.0,1
13,58.0,38.0,-0.7853981633974483,-45.0,1
14,59.0,37.0,-0.7853981633974483,-45.0,1
15,60.0,36.0,-0.7853981633974483,-45.0,1
16,61.0,35.0,0.0,0.0,1
17,62.0,35.0,0.0,0.0,1
18,63.0,35.0,0.0,0.0,1
19,64.0,35.0,-0.7853981633974483,-45.0,1
20,65.0,34.0,0.0,0.0,1
21,66.0,34.0,0.0,0.0,1
22,67.0,34.0,0.0,0.0,1
23,68.0,34.0,0.0,0.0,1
24,69.0,34.0,0.0,0.0,1
25,70.0,34.0,0.0,0.0,1
26,71.0,34.0,0.0,0.0,1
27,72.0,34.0,0.0,0.0,1
28,73.0,34.0,0.7853981633974483,45.0,1
29,74.0,35.0,0.7853981633974483,45.0,1
30,75.0,36.0,0.7853981633974483,45.0,1
31,76.0,37.0,0.7853981633974483,45.0,1
32,77.0,38.0,0.7853981633974483,45.0,1
33,78.0,39.0,0.7853981633974483,45.0,1
34,79.0,40.0,0.7853981633974483,45.0,1
35,80.0,41.0,0.7853981633974483,45.0,1
36,81.0,42.0,0.7853981633974483,45.0,1
37,82.0,43.0,0.7853981633974483,45.0,1
38,83.0,44.0,0.7853981633974483,45.0,1
39,84.0,45.0,0.7853981633974483,45.0,1
40,85.0,46.0,0.7853981633974483,45.0,1
41,86.0,47.0,0.7853981633974483,45.0,1
42,87.0,48.0,0.7853981633974483,45.0,1
43,88.0,49.0,0.7853981633974483,45.0,1
44,89.0,50.0,0.7853981633974483,45.0,1
45,90.0,51.0,0.7853981633974483,45.0,1
46,91.0,52.0,0.7853981633974483,45.0,1
47,92.0,53.0,0.7853981633974483,45.0,1
48,93.0,54.0,0.7853981633974483,45.0,1
49,94.0,55.0,0.7853981633974483,45.0,1
50,95.0,56.0,0.7853981633974483,45.0,1
51,96.0,57.0,0.7853981633974483,45.0,1
52,97.0,58.0,0.0,0.0,1
53,98.0,58.0,0.0,0.0,1
54,99.0,58.0,0.0,0.0,1
55,100.0,58.0,0.7853981633974483,45.0,1
56,101.0,59.0,0.7853981633974483,45.0,1
57,102.0,60.0,0.7853981633974483,45.0,1
58,103.0,61.0,0.7853981633974483,45.0,1
59,104.0,62.0,0.7853981633974483,45.0,1
60,105.0,63.0,0.7853981633974483,45.0,1
61,106.0,64.0,0.7853981633974483,45.0,1
62,107.0,65.0,0.7853981633974483,45.0,1
63,108.0,66.0,0.7853981633974483,45.0,1
64,109.0,67.0,0.7853981633974483,45.0,1
65,110.0,68.0,0.7853981633974483,45.0,1
66,111.0,69.0,0.0,0.0,1
67,112.0,69.0,0.0,0.0,1
68,113.0,69.0,0.0,0.0,1
69,114.0,69.0,0.7853981633974483,45.0,1
70,115.0,70.0,0.7853981633974483,45.0,1
71,116.0,71.0,0.7853981633974483,45.0,1
72,117.0,72.0,0.7853981633974483,45.0,1
73,118.0,73.0,0.7853981633974483,45.0,1
74,119.0,74.0,0.7853981633974483,45.0,1
75,120.0,75.0,0.7853981633974483,45.0,1
76,121.0,76.0,0.7853981633974483,45.0,1
77,122.0,77.0,0.7853981633974483,45.0,1
78,123.0,78.0,0.7853981633974483,45.0,1
79,124.0,79.0,0.7853981633974483,45.0,1
80,125.0,80.0,0.7853981633974483,45.0,1
81,126.0,81.0,0.7853981633974483,45.0,1
82,127.0,82.0,0.0,0.0,1
83,128.0,82.0,0.7853981633974483,45.0,1
84,129.0,83.0,0.7853981633974483,45.0,1
85,130.0,84.0,1.5707963267948966,90.0,1
86,130.0,85.0,0.7853981633974483,45.0,1
87,131.0,86.0,1.5707963267948966,90.0,1
88,131.0,87.0,0.7853981633974483,45.0,1
89,132.0,88.0,0.7853981633974483,45.0,1
90,133.0,89.0,0.7853981633974483,45.0,1
91,134.0,90.0,0.7853981633974483,45.0,1
92,135.0,91.0,0.7853981633974483,45.0,1
93,136.0,92.0,0.7853981633974483,45.0,1
94,137.0,93.0,0.7853981633974483,45.0,1
95,138.0,94.0,0.7853981633974483,45.0,1
96,139.0,95.0,0.7853981633974483,45.0,1
97,140.0,96.0,0.7853981633974483,45.0,1
