source,target,path_points,csv_file
START,P8,154,fixed_route_start_to_p8.csv
START,P7,188,fixed_route_start_to_p7.csv
START,P6,226,fixed_route_start_to_p6.csv
START,P5,298,fixed_route_start_to_p5.csv
START,C1,470,fixed_route_start_to_c1.csv
START,C2,537,fixed_route_start_to_c2.csv
P8,C1,473,fixed_route_p8_to_c1.csv
P8,C2,540,fixed_route_p8_to_c2.csv
P7,C1,433,fixed_route_p7_to_c1.csv
P7,C2,500,fixed_route_p7_to_c2.csv
P6,C1,404,fixed_route_p6_to_c1.csv
P6,C2,471,fixed_route_p6_to_c2.csv
P5,C1,355,fixed_route_p5_to_c1.csv
P5,C2,422,fixed_route_p5_to_c2.csv
C1,P1,323,fixed_route_c1_to_p1.csv
C1,P2,359,fixed_route_c1_to_p2.csv
C1,P3,410,fixed_route_c1_to_p3.csv
C1,P4,428,fixed_route_c1_to_p4.csv
C2,P1,259,fixed_route_c2_to_p1.csv
C2,P2,295,fixed_route_c2_to_p2.csv
C2,P3,346,fixed_route_c2_to_p3.csv
C2,P4,364,fixed_route_c2_to_p4.csv
P1,EXIT,194,fixed_route_p1_to_exit.csv
P2,EXIT,156,fixed_route_p2_to_exit.csv
P3,EXIT,115,fixed_route_p3_to_exit.csv
P4,EXIT,81,fixed_route_p4_to_exit.csv
