index,x_px,y_px
0,60.069550,362.366852
1,76.799103,345.222229
2,89.455109,324.884033
3,97.446564,302.301941
4,100.400482,278.530304
5,103.354279,254.758667
6,111.345856,232.176575
7,124.001801,211.838379
8,140.731354,194.693756
9,160.753326,181.543213
10,183.132843,173.000793
11,206.824982,169.465332
12,230.805878,168.508530
13,254.786774,167.551712
14,278.767731,166.594864
15,302.748627,165.638046
16,326.729584,164.681183
17,350.710480,163.724396
18,374.691376,162.767502
19,398.672272,161.810669
20,422.653229,160.853851
21,446.634125,159.897018
22,470.615021,158.940201
23,494.595978,157.983337
24,518.576904,157.026550
25,542.557861,156.069687
26,566.538818,155.112900
27,590.519653,154.156006
28,614.500610,153.199219
29,638.481445,152.242355
30,662.462402,151.285553
31,686.443359,150.328705
32,710.341797,151.965286
33,733.968384,156.182327
34,757.595093,160.399414
35,781.221680,164.616440
36,804.848267,168.833481
37,828.474731,173.050613
38,852.101318,177.267670
39,875.728027,181.484711
40,899.354614,185.701767
41,922.343506,192.434021
42,944.512695,201.628052
43,966.681763,210.822098
44,988.850952,220.016144
45,1011.020020,229.210114
46,1033.189087,238.404236
47,1055.358154,247.598267
48,1077.527466,256.792358
49,1099.696533,265.986389
50,1120.702515,277.499878
51,1138.744873,293.257141
52,1155.010010,310.904968
53,1171.275024,328.552765
54,1187.540283,346.200592
55,1203.805420,363.848389
56,1220.070557,381.496216
57,1236.335693,399.144043
58,1254.378052,414.901245
