index,x_px,y_px
0,60.069550,362.366852
1,66.242493,357.278168
2,72.415436,352.189484
3,78.588409,347.100800
4,79.672699,335.839172
5,80.756989,324.577545
6,81.841217,313.315918
7,88.014191,308.227234
8,94.187103,303.138550
9,100.360077,298.049866
10,106.533051,292.961182
11,107.617279,281.699554
12,108.701569,270.437927
13,109.785858,259.176300
14,110.870148,247.914673
15,111.954376,236.653030
16,113.038666,225.391403
17,119.211578,220.302734
18,125.384552,215.214050
19,131.557526,210.125366
20,132.641815,198.863724
21,138.814728,193.775055
22,144.987701,188.686371
23,151.160675,183.597687
24,157.333588,178.509003
25,163.506561,173.420319
26,169.679474,168.331650
27,175.852448,163.242966
28,182.025421,158.154282
29,193.287018,159.238556
30,204.548676,160.322830
31,215.810272,161.407104
32,227.071930,162.491364
33,238.333527,163.575653
34,249.595184,164.659912
35,260.856842,165.744186
36,272.118439,166.828461
37,283.380096,167.912720
38,294.641693,168.996994
39,305.903351,170.081284
40,317.164948,171.165543
41,328.426605,172.249817
42,339.688263,173.334106
43,350.949860,174.418365
44,362.211517,175.502625
45,373.473175,176.586884
46,384.734772,177.671188
47,395.996368,178.755447
48,407.258026,179.839706
49,418.519684,180.923981
50,429.781281,182.008270
51,441.042938,183.092529
52,452.304596,184.176788
53,458.477509,179.088104
54,464.650482,173.999435
55,470.823456,168.910751
56,482.085052,169.995041
57,493.346649,171.079315
58,504.608307,172.163574
59,515.869995,173.247833
60,527.131592,174.332123
61,538.393188,175.416382
62,549.654907,176.500656
63,560.916504,177.584946
64,572.178101,178.669205
65,583.439697,179.753479
66,594.701294,180.837738
67,600.874268,175.749054
68,607.047241,170.660370
69,613.220215,165.571686
70,624.481812,166.655991
71,635.743408,167.740250
72,647.005127,168.824509
73,658.266724,169.908813
74,669.528320,170.993073
75,680.790039,172.077332
76,692.051636,173.161591
77,703.313232,174.245880
78,714.574829,175.330154
79,725.836548,176.414413
80,737.098145,177.498672
81,748.359741,178.582977
82,759.621460,179.667236
83,765.794434,174.578552
84,777.056030,175.662811
85,788.317627,176.747101
86,793.406250,182.920013
87,804.667969,184.004318
88,809.756592,190.177292
89,821.018311,191.261520
90,832.279907,192.345810
91,843.541504,193.430115
92,854.803101,194.514343
93,866.064819,195.598633
94,877.326416,196.682922
95,888.588013,197.767151
96,899.849731,198.851456
97,911.111328,199.935745
98,922.372925,201.019974
99,933.634521,202.104279
100,944.896240,203.188507
101,949.984863,209.361481
102,961.246582,210.445770
103,966.335205,216.618683
104,971.423950,222.791656
105,976.512573,228.964630
106,981.601196,235.137543
107,986.689941,241.310516
108,991.778564,247.483490
109,996.867310,253.656403
110,1001.955933,259.829376
111,1007.044678,266.002289
112,1012.133301,272.175262
113,1017.222046,278.348236
114,1022.310669,284.521149
115,1027.399414,290.694122
116,1032.488037,296.867096
117,1037.576782,303.040009
118,1042.665405,309.212982
119,1047.754150,315.385956
120,1059.015747,316.470184
121,1064.104370,322.643158
122,1075.365967,323.727448
123,1080.454712,329.900360
124,1085.543335,336.073334
125,1096.805054,337.157562
126,1101.893677,343.330536
127,1113.155273,344.414856
128,1118.244019,350.587769
129,1129.505615,351.672058
130,1134.594360,357.845032
131,1145.855957,358.929260
132,1150.944702,365.102234
133,1162.206299,366.186523
134,1167.294922,372.359436
135,1172.383667,378.532410
136,1183.645264,379.616638
137,1188.734009,385.789612
138,1199.995605,386.873901
139,1205.084229,393.046814
140,1216.345825,394.131104
141,1221.434570,400.304077
142,1232.696167,401.388306
143,1237.784912,407.561279
144,1242.873535,413.734253
145,1254.135132,414.818481
