pose_index,requested_roll_deg,requested_pitch_deg,requested_yaw_deg,applied_roll_deg,applied_pitch_deg,applied_yaw_deg,candidate,calibration_path,measurement_count,board_x_m,board_y_m,board_z_m,board_qx,board_qy,board_qz,board_qw,board_roll_deg,board_pitch_deg,board_yaw_deg,within_position_rms_mm,within_rotation_rms_deg
2,12.0,0.0,0.0,12.0,0.0,0.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2853785113889461,-0.13704537952609303,-0.05824386416896714,0.008921917375405973,0.9983776115767766,-0.02350107011841758,0.05109054507329785,-177.34869092208783,5.879386468767727,179.1121647557065,0.021979117134942334,0.021392076102336618
2,12.0,0.0,0.0,12.0,0.0,0.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.28993022723578754,-0.13015792874817672,-0.05981517130664138,0.008697677342549434,0.9984389663718054,-0.010635090066804936,0.05413756273158997,-178.83020864728795,6.216814648926037,179.06531454904902,0.021979117134933227,0.021392076150041257
5,0.0,-12.0,0.0,0.0,-12.0,0.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2837787188803248,-0.13371166918084143,-0.05957581740142519,0.007158861823044151,0.9985561570801185,-0.015004191496655854,0.05108058429888947,-178.3159685681539,5.867511334029854,179.2647930433877,0.05552050747617479,0.029421752560353526
5,0.0,-12.0,0.0,0.0,-12.0,0.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.28848906463866947,-0.12697598608330846,-0.06124716094286862,0.007864687774808138,0.9984719111848361,-0.0022912783314208295,0.0546510686511566,-179.78581236772857,6.267538463719422,179.10913918466906,0.05552050747616565,0.029421752560353526
6,0.0,0.0,15.0,0.0,0.0,15.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2865083713706056,-0.13545935438207507,-0.05808260444226297,0.0034379853259463486,0.9984841258747001,-0.021204026007482356,0.05067563432467857,-177.58067419601642,5.816536460472537,179.7283653563481,0.10233374346557354,0.037961095409903375
6,0.0,0.0,15.0,0.0,0.0,15.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2924578432392048,-0.130343970375381,-0.05898059254138296,0.00502165086546144,0.9983025461251417,-0.009806642046561917,0.05718950248442028,-178.9038097264872,6.562291104963664,179.48643354438283,0.10233374346558,0.03796109535613774
7,0.0,0.0,-15.0,0.0,0.0,-15.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.28791814115150394,-0.13574254550437734,-0.05839583749399045,0.005520902500048741,0.9985457667017089,-0.021291445334059193,0.04921936400714888,-177.58238881645534,5.654566265953802,179.48584885996635,0.13997761754769728,0.05560779101198313
7,0.0,0.0,-15.0,0.0,0.0,-15.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2905530516202349,-0.12837569166091495,-0.0611047527686109,0.0073312219367390125,0.9987143026318401,-0.00819582501243802,0.04948558735507937,-179.0991485680987,5.679521797940935,179.2035240314505,0.13997761754768756,0.05560779099625304
10,10.0,-10.0,0.0,10.0,-10.0,0.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2827302361363179,-0.1350261029341584,-0.06089946715503093,0.008678958319901673,0.9987784289354515,-0.018672757506988203,0.0449183003106529,-177.89853917110497,5.166539880964998,179.0990958292514,0.2937883643333501,0.09621091423167967
10,10.0,-10.0,0.0,10.0,-10.0,0.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2877054615187292,-0.12800543407920623,-0.06218303474224311,0.007600741811595326,0.9987788575066282,-0.005974646536557958,0.04844921176274389,-179.35534494214187,5.55901238780426,179.15926917867043,0.2966299707609643,0.09623248475203704
12,10.0,0.0,12.0,10.0,0.0,12.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2854981998364529,-0.13689398467612646,-0.057861558809535696,0.006528235310301393,0.9983846940414649,-0.02342050260708435,0.05135041290092474,-177.34392839716466,5.9027754985178404,179.38768334314005,0.055494905165636564,0.026485543493658514
12,10.0,0.0,12.0,10.0,0.0,12.0,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2912760391868531,-0.1310982902473626,-0.058738073416815986,0.006486454262447499,0.9982890488414136,-0.011451268479962659,0.05697165369380473,-178.72396455703787,6.540004733538279,179.32835211953852,0.055494905165630104,0.026485543493658514
15,0.0,-10.0,12.0,0.0,-3.5,4.2,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2860126665521374,-0.1352935163654494,-0.058075039531795415,0.005773099245391897,0.9984402785593567,-0.019718131281221633,0.05191220255579185,-177.7656816991852,5.963226404316722,179.45381689548168,0.1159374277800057,0.058096657048059434
15,0.0,-10.0,12.0,0.0,-3.5,4.2,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2910659033818191,-0.12910921983183257,-0.05955698661177389,0.007084608976512501,0.9983559429504117,-0.00734942957182864,0.05640217527908819,-179.19986580406754,6.472310227120967,179.23208203921786,0.11593742777999953,0.05809665702547512
16,8.0,8.0,8.0,2.8,2.8,2.8,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2877980311170878,-0.13660775611223347,-0.057897374625658714,0.005730372774595964,0.9984292296005923,-0.0236110065448835,0.050485212458395476,-177.3170618882847,5.801504620847569,179.47829368067212,0.1159872512042491,0.05491354527832847
16,8.0,8.0,8.0,2.8,2.8,2.8,new,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_150604_repeat_same_mount_01/calibration.calib,5,0.2924221668963344,-0.13029016672332397,-0.05969336988337526,0.007247999362144004,0.9984384092810012,-0.011034857419042678,0.054281132075628645,-178.77522654973376,6.231891535855543,179.23483179998055,0.11598725120425353,0.05491354525974469
18,8.0,-8.0,8.0,4.0,-4.0,4.0,old,/home/juwon/Desktop/Pinkk-robot-arm/src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,5,0.2853571165617555,-0.13613710470945525,-0.05811296925150726,0.006555258554578502,0.9983975758600816,-0.02150333702834551,0.05193183608000678,-177.56492925958491,5.968354703478744,179.3745892862284,0.054119260314471195,0.051338161724004606
