pose_index,requested_roll_deg,requested_pitch_deg,requested_yaw_deg,applied_roll_deg,applied_pitch_deg,applied_yaw_deg,candidate,calibration_path,measurement_count,board_x_m,board_y_m,board_z_m,board_qx,board_qy,board_qz,board_qw,board_roll_deg,board_pitch_deg,board_yaw_deg,within_position_rms_mm,within_rotation_rms_deg
1,0.0,0.0,0.0,0.0,0.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2828700713249673,-0.13186687193697683,-0.06196450911635589,0.007944600997321189,0.9989599263572414,-0.015858428153779816,0.04200546516609108,-178.2162715221364,4.828616337555208,179.16389981178696,0.2899800326125621,0.08784139086832128
1,0.0,0.0,0.0,0.0,0.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28573496306126006,-0.11585880798012882,-0.07138996879368265,-0.04495640625988369,0.9975868048975876,-0.024703545851023263,0.046789133918092335,-176.9206840245596,5.228692127676768,-174.69876765686527,0.2954508284386344,0.08805039982502988
2,12.0,0.0,0.0,9.0,0.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2813924445006738,-0.13286001351597382,-0.062946927563942,0.01051819241482053,0.9990338251245929,-0.0175968803786402,0.03887330300075991,-178.02593809124528,4.476009358070033,178.87073765894948,0.043786825573510116,0.04192543428799006
2,12.0,0.0,0.0,9.0,0.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2815581910641013,-0.12207238572219814,-0.07488349989523217,-0.04146638748569681,0.997935522484674,-0.03159871605793355,0.03750670360904752,-176.19558173020602,4.142539254327508,-175.10356752128737,0.04378682557351189,0.0419254342897287
4,0.0,12.0,0.0,0.0,6.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28527890059300404,-0.13365968608311787,-0.05976580200462278,0.007369729964850725,0.998730413637664,-0.018405126576044577,0.046308738604129304,-177.9233050956575,5.323050836773431,179.25098037883075,0.048356209251519205,0.03514694072702142
4,0.0,12.0,0.0,0.0,6.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28434377391893034,-0.11470172311864371,-0.07100763812890372,-0.04638671199939023,0.9975877511162963,-0.021581834311478924,0.04691669426087082,-177.27098105531218,5.255937845478194,-174.5501736392697,0.048356209251528136,0.035146940793387774
5,0.0,-12.0,0.0,0.0,-6.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28056971067655434,-0.13056527684275032,-0.06375273192692059,0.007040707487171976,0.9992044577796778,-0.014089760366593077,0.03663821289463026,-178.41178792914957,4.210245592849739,179.25094837553573,0.0747893799593896,0.036253768041734566
5,0.0,-12.0,0.0,0.0,-6.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2866239736159651,-0.11615452993030832,-0.07129328110552532,-0.04455711434334765,0.9976162471872937,-0.026727230122428558,0.04541081456346317,-176.69802843919925,5.061406300761114,-174.73934939342467,0.0747893799593807,0.0362537680960216
6,0.0,0.0,15.0,0.0,0.0,15.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2827448258702094,-0.13115695143783826,-0.06332223690479413,0.006140684689861019,0.9991305208369264,-0.012562774239329966,0.039276851033189175,-178.58477551363163,4.5103793210179015,179.35146141160806,0.0618289444890121,0.039538980021425925
6,0.0,0.0,15.0,0.0,0.0,15.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2867358709226506,-0.11383537869017615,-0.07305973243477819,-0.046876160979322797,0.9977895495799665,-0.021639116888840584,0.041837649325928525,-177.29107645571904,4.672584706547944,-174.50990222826294,0.06182894448901853,0.03953898001958235
7,0.0,0.0,-15.0,0.0,0.0,-15.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28687462449092316,-0.1356817673912201,-0.05924724713600214,0.007548387324241998,0.9983781412749483,-0.023057761536836367,0.05150192720756344,-177.39179066322728,5.922600621980837,179.26857712349008,0.06510871474320581,0.03550079772159939
7,0.0,0.0,-15.0,0.0,0.0,-15.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28957796016796217,-0.1193270016499988,-0.06781886060633338,-0.045263973616821676,0.9967514596654002,-0.029614171820965166,0.05967161112847591,-176.280154776467,6.677148679334183,-174.58272496004355,0.06510871474320531,0.03550079773391905
8,10.0,10.0,0.0,5.0,5.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2871075326269948,-0.13702093969234783,-0.05969582535283783,0.008091867106860775,0.998495679692137,-0.024047059721545277,0.048606977293496535,-177.27965993909012,5.592745300521848,179.2042627633602,0.041218158360118426,0.02557611471166942
8,10.0,10.0,0.0,5.0,5.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2862257858276215,-0.1215758702984088,-0.0718063871049243,-0.045218377429173895,0.9973601723307658,-0.03155685388066919,0.04724563433982199,-176.1294591801671,5.243458629278589,-174.63089768641035,0.04121815836011179,0.02557611471166942
9,-10.0,-10.0,0.0,-7.5,-7.5,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2846703840845887,-0.133095099301105,-0.06140081493780871,0.006015451146885545,0.9986870333037453,-0.01560501260880705,0.04842011400174859,-178.23895873279787,5.560733753355359,179.39531330632957,0.06615610667610482,0.032108788691306234
9,-10.0,-10.0,0.0,-7.5,-7.5,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2927519911547258,-0.11436838436870414,-0.06652569028398594,-0.04545254182528934,0.9967529490310605,-0.022967153297111482,0.06237094603203949,-177.02823402772123,7.021917621945027,-174.59580026876148,0.0661561066761131,0.032108788748060904
10,10.0,-10.0,0.0,7.5,-7.5,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2821467224796875,-0.13450281150398555,-0.06346108486214902,0.009986587451954413,0.9991539281717905,-0.02620231008364727,0.03008545888341199,-177.0276046262127,3.476741379661457,178.94492171191266,0.2545273249218335,0.087801638451931
10,10.0,-10.0,0.0,7.5,-7.5,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2874851312382799,-0.12467610312020713,-0.07239867073312856,-0.04029784602451083,0.9975603856530016,-0.044714047535215844,0.03535554460954993,-174.70599793869343,3.837952283403285,-175.19592777495933,0.2558384904962232,0.0885608165394058
11,-10.0,10.0,0.0,-5.0,5.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28930078979846346,-0.13570937637214814,-0.05879493158916528,0.0036701474564998977,0.9985150920408971,-0.022406460479916984,0.04951859764743373,-177.4436312107521,5.684732994775762,179.70575170282606,0.3343421371118245,0.06587113037657343
11,-10.0,10.0,0.0,-5.0,5.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.29146548005150746,-0.11387029190296634,-0.0677713371123608,-0.04984307603299636,0.9969394281337859,-0.02394473258562433,0.055263859666620486,-176.92953418752737,6.188653784617393,-174.10961098560128,0.3415465934409713,0.06496938432001183
12,10.0,0.0,12.0,10.0,0.0,12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2843942216497277,-0.13693254975481584,-0.061143167222019026,0.007693728463658472,0.9986290597570519,-0.02470764392586588,0.045500987711331806,-177.19991579555702,5.2359487971409795,179.24522755694446,0.1034042805551557,0.06891782802780361
12,10.0,0.0,12.0,10.0,0.0,12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2847907631409313,-0.12420426253089753,-0.07378313678883372,-0.04454980278084454,0.9974494306419729,-0.03717020974241711,0.04157311501315271,-175.52046984280153,4.566856369551914,-174.70660410340662,0.1034042805551407,0.06891782803097665
13,-10.0,0.0,-12.0,-7.5,0.0,-9.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28892987836710965,-0.13487534390185504,-0.05868765577638736,0.0046039492854970335,0.9984874222448744,-0.020592678091859152,0.050770196757227944,-177.6578441175747,5.829955044544524,179.59090971437746,0.2121608085404424,0.10310511843776358
13,-10.0,0.0,-12.0,-7.5,0.0,-9.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2924620487292484,-0.11391278889842012,-0.0659820370523989,-0.048269104880018204,0.9967370141672229,-0.022107415653386926,0.06080033121800929,-177.11692388942788,6.838413695556454,-174.2827001759304,0.2121608085404354,0.1031051184151403
14,0.0,10.0,-12.0,0.0,10.0,-12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.290044477523856,-0.1376904577657479,-0.057924435077591284,0.005675829280341124,0.9983041321151942,-0.02785874119318686,0.05079896950569482,-176.82800533838034,5.839484814851358,179.5103233657149,0.09927606159491091,0.04126401203510642
14,0.0,10.0,-12.0,0.0,10.0,-12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2869879618838976,-0.11841594348710371,-0.06928692481266754,-0.048168322812597746,0.9971026408410265,-0.02823599563245569,0.05166105744094189,-176.46858207461491,5.756595359027061,-174.2909690442474,0.09927606159491192,0.04126401204040593
15,0.0,-10.0,12.0,0.0,-10.0,12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2828246629316011,-0.13355708497239233,-0.06329168542632763,0.006268515754928339,0.9990279115197968,-0.017019937652160536,0.040177847589686,-178.07380373662315,4.616786785921046,179.35864545917406,0.09673755614216523,0.06783336411829366
15,0.0,-10.0,12.0,0.0,-10.0,12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2904582271545225,-0.12018670561135694,-0.07074496432234892,-0.04489713232564416,0.9973594924045439,-0.032296120330388936,0.047066453351502884,-176.04724387998692,5.220238064019068,-174.66476237591635,0.09673755614216985,0.06783336410754777
16,8.0,8.0,8.0,4.0,4.0,4.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28751167620732143,-0.13625426020841774,-0.05900351770628587,0.006420926169802882,0.9984058106715343,-0.022925396133098238,0.051176509616999585,-177.40020980882807,5.882242899875564,179.3966446570998,0.038895832290500386,0.024817772133556903
